Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used
14/09/2024,11:55PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,13.5C,236.1V,9.085kWh,36W
14/09/2024,11:50PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.6C,235.7V,9.082kWh,48W
14/09/2024,11:45PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.6C,235.7V,9.078kWh,36W
14/09/2024,11:40PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.6C,235.1V,9.075kWh,144W
14/09/2024,11:35PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.6C,234.9V,9.063kWh,324W
14/09/2024,11:30PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.1C,233.1V,9.036kWh,588W
14/09/2024,11:25PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.1C,232.4V,8.987kWh,648W
14/09/2024,11:20PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.1C,232.2V,8.933kWh,564W
14/09/2024,11:15PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,13.5C,232.0V,8.886kWh,636W
14/09/2024,11:10PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,13.5C,231.7V,8.833kWh,552W
14/09/2024,11:05PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.1C,232.4V,8.787kWh,696W
14/09/2024,11:00PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.1C,229.4V,8.729kWh,624W
14/09/2024,10:55PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.1C,231.9V,8.677kWh,912W
14/09/2024,10:50PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.1C,229.4V,8.601kWh,696W
14/09/2024,10:45PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.1C,231.4V,8.543kWh,660W
14/09/2024,10:40PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.7C,228.3V,8.488kWh,636W
14/09/2024,10:35PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.7C,231.9V,8.435kWh,"1,068W"
14/09/2024,10:30PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,14.7C,229.2V,8.346kWh,828W
14/09/2024,10:25PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.0C,232.3V,8.277kWh,672W
14/09/2024,10:20PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.0C,231.3V,8.221kWh,576W
14/09/2024,10:15PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.3C,230.5V,8.173kWh,588W
14/09/2024,10:10PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.3C,230.0V,8.124kWh,672W
14/09/2024,10:05PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.3C,230.3V,8.068kWh,720W
14/09/2024,10:00PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,229.7V,8.008kWh,708W
14/09/2024,9:55PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,229.9V,7.949kWh,744W
14/09/2024,9:50PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,230.9V,7.887kWh,708W
14/09/2024,9:45PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,230.4V,7.828kWh,864W
14/09/2024,9:40PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,230.5V,7.756kWh,"1,308W"
14/09/2024,9:35PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,220.8V,7.647kWh,"1,920W"
14/09/2024,9:30PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,223.6V,7.487kWh,"1,908W"
14/09/2024,9:25PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,224.2V,7.328kWh,"1,908W"
14/09/2024,9:20PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,223.3V,7.169kWh,"1,908W"
14/09/2024,9:15PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,223.9V,7.010kWh,"1,908W"
14/09/2024,9:10PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,224.1V,6.851kWh,"1,740W"
14/09/2024,9:05PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.8C,223.6V,6.706kWh,"1,704W"
14/09/2024,9:00PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.9C,224.5V,6.564kWh,"1,944W"
14/09/2024,8:55PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.9C,224.1V,6.402kWh,"1,860W"
14/09/2024,8:50PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.9C,223.8V,6.247kWh,"1,824W"
14/09/2024,8:45PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.9C,225.5V,6.095kWh,"1,848W"
14/09/2024,8:40PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,15.9C,224.1V,5.941kWh,"1,752W"
14/09/2024,8:35PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,16.4C,224.5V,5.795kWh,"1,308W"
14/09/2024,8:30PM,60.380kWh,4.078kWh/kW,0W,0W,0.000kW/kW,16.4C,230.8V,5.686kWh,624W
