Date,Time,Energy
14/09/2024,11:55PM,60.380kWh
14/09/2024,11:50PM,60.380kWh
14/09/2024,11:45PM,60.380kWh
14/09/2024,11:40PM,60.380kWh
14/09/2024,11:35PM,60.380kWh
14/09/2024,11:30PM,60.380kWh
14/09/2024,11:25PM,60.380kWh
14/09/2024,11:20PM,60.380kWh
14/09/2024,11:15PM,60.380kWh
14/09/2024,11:10PM,60.380kWh
14/09/2024,11:05PM,60.380kWh
14/09/2024,11:00PM,60.380kWh
14/09/2024,10:55PM,60.380kWh
14/09/2024,10:50PM,60.380kWh
14/09/2024,10:45PM,60.380kWh
14/09/2024,10:40PM,60.380kWh
14/09/2024,10:35PM,60.380kWh
14/09/2024,10:30PM,60.380kWh
14/09/2024,10:25PM,60.380kWh
14/09/2024,10:20PM,60.380kWh
14/09/2024,10:15PM,60.380kWh
14/09/2024,10:10PM,60.380kWh
14/09/2024,10:05PM,60.380kWh
14/09/2024,10:00PM,60.380kWh
14/09/2024,9:55PM,60.380kWh
14/09/2024,9:50PM,60.380kWh
14/09/2024,9:45PM,60.380kWh
14/09/2024,9:40PM,60.380kWh
14/09/2024,9:35PM,60.380kWh
14/09/2024,9:30PM,60.380kWh
14/09/2024,9:25PM,60.380kWh
14/09/2024,9:20PM,60.380kWh
14/09/2024,9:15PM,60.380kWh
14/09/2024,9:10PM,60.380kWh
14/09/2024,9:05PM,60.380kWh
14/09/2024,9:00PM,60.380kWh
14/09/2024,8:55PM,60.380kWh
14/09/2024,8:50PM,60.380kWh
14/09/2024,8:45PM,60.380kWh
14/09/2024,8:40PM,60.380kWh
14/09/2024,8:35PM,60.380kWh
14/09/2024,8:30PM,60.380kWh
14/09/2024,8:25PM,60.380kWh
14/09/2024,8:20PM,60.380kWh
14/09/2024,8:15PM,60.380kWh
14/09/2024,8:10PM,60.380kWh
14/09/2024,8:05PM,60.380kWh
14/09/2024,8:00PM,60.380kWh
14/09/2024,7:55PM,60.380kWh
14/09/2024,7:50PM,60.380kWh
14/09/2024,7:45PM,60.380kWh
14/09/2024,7:40PM,60.380kWh
14/09/2024,7:35PM,60.380kWh
14/09/2024,7:30PM,60.380kWh
14/09/2024,7:25PM,60.380kWh
14/09/2024,7:20PM,60.380kWh
14/09/2024,7:15PM,60.380kWh
14/09/2024,7:10PM,60.379kWh
14/09/2024,7:05PM,60.378kWh
14/09/2024,7:00PM,60.374kWh
14/09/2024,6:55PM,60.367kWh
14/09/2024,6:50PM,60.354kWh
14/09/2024,6:45PM,60.331kWh
14/09/2024,6:40PM,60.300kWh
14/09/2024,6:35PM,60.282kWh
14/09/2024,6:30PM,60.266kWh
14/09/2024,6:25PM,60.251kWh
14/09/2024,6:20PM,60.233kWh
14/09/2024,6:15PM,60.207kWh
14/09/2024,6:10PM,60.172kWh
14/09/2024,6:05PM,60.123kWh
14/09/2024,6:00PM,60.043kWh
14/09/2024,5:55PM,59.958kWh
14/09/2024,5:50PM,59.804kWh
14/09/2024,5:45PM,59.706kWh
14/09/2024,5:40PM,59.505kWh
14/09/2024,5:35PM,59.319kWh
14/09/2024,5:30PM,59.126kWh
14/09/2024,5:25PM,58.871kWh
14/09/2024,5:20PM,58.687kWh
14/09/2024,5:15PM,58.477kWh
14/09/2024,5:10PM,58.120kWh
14/09/2024,5:05PM,57.698kWh
14/09/2024,5:00PM,57.419kWh
14/09/2024,4:55PM,57.287kWh
14/09/2024,4:50PM,56.881kWh
14/09/2024,4:45PM,56.486kWh
14/09/2024,4:40PM,56.228kWh
14/09/2024,4:35PM,56.065kWh
14/09/2024,4:30PM,55.898kWh
14/09/2024,4:25PM,55.700kWh
14/09/2024,4:20PM,55.153kWh
14/09/2024,4:15PM,54.518kWh
14/09/2024,4:10PM,53.996kWh
14/09/2024,4:05PM,53.510kWh
14/09/2024,4:00PM,53.156kWh
14/09/2024,3:55PM,52.981kWh
14/09/2024,3:50PM,52.801kWh
14/09/2024,3:45PM,52.584kWh
14/09/2024,3:40PM,52.054kWh
14/09/2024,3:35PM,51.522kWh
14/09/2024,3:30PM,51.034kWh
14/09/2024,3:25PM,50.739kWh
14/09/2024,3:20PM,50.526kWh
14/09/2024,3:15PM,50.393kWh
14/09/2024,3:10PM,50.285kWh
14/09/2024,3:05PM,50.161kWh
14/09/2024,3:00PM,49.980kWh
14/09/2024,2:55PM,49.804kWh
14/09/2024,2:50PM,49.547kWh
14/09/2024,2:45PM,49.363kWh
14/09/2024,2:40PM,49.232kWh
14/09/2024,2:35PM,49.022kWh
14/09/2024,2:30PM,48.715kWh
14/09/2024,2:25PM,48.567kWh
14/09/2024,2:20PM,48.408kWh
14/09/2024,2:15PM,47.946kWh
14/09/2024,2:10PM,47.039kWh
14/09/2024,2:05PM,46.038kWh
14/09/2024,2:00PM,45.238kWh
14/09/2024,1:55PM,44.920kWh
14/09/2024,1:50PM,44.611kWh
14/09/2024,1:45PM,43.862kWh
14/09/2024,1:40PM,42.972kWh
14/09/2024,1:35PM,42.008kWh
14/09/2024,1:30PM,41.045kWh
14/09/2024,1:25PM,40.006kWh
14/09/2024,1:20PM,39.475kWh
14/09/2024,1:15PM,39.183kWh
14/09/2024,1:10PM,38.358kWh
14/09/2024,1:05PM,38.079kWh
14/09/2024,1:00PM,37.341kWh
14/09/2024,12:55PM,37.077kWh
14/09/2024,12:50PM,36.321kWh
